PRAGMA foreign_keys=OFF;
BEGIN TRANSACTION;
CREATE TABLE IF NOT EXISTS "light" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT,
	"r" REAL DEFAULT(1.0),
	"g" REAL DEFAULT(1.0),
	"b" REAL DEFAULT(1.0),
	"radius" REAL DEFAULT(1.0)
);
INSERT INTO light VALUES(1,'tiny white',1.0,1.0,1.0,1.0);
INSERT INTO light VALUES(2,'small white',1.0,1.0,1.0,2.0);
INSERT INTO light VALUES(3,'small white',1.0,1.0,1.0,3.0);
INSERT INTO light VALUES(4,'small white',1.0,1.0,1.0,4.0);
INSERT INTO light VALUES(5,'medium white',1.0,1.0,1.0,5.0);
INSERT INTO light VALUES(6,'medium white',1.0,1.0,1.0,6.0);
INSERT INTO light VALUES(7,'medium white',1.0,1.0,1.0,7.0);
INSERT INTO light VALUES(8,'large white',1.0,1.0,1.0,8.0);
INSERT INTO light VALUES(9,'large white',1.0,1.0,1.0,9.0);
INSERT INTO light VALUES(10,'large white',1.0,1.0,1.0,10.0);
INSERT INTO light VALUES(11,'tiny dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,1.0);
INSERT INTO light VALUES(12,'small dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,2.0);
INSERT INTO light VALUES(13,'small dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,3.0);
INSERT INTO light VALUES(14,'small dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,4.0);
INSERT INTO light VALUES(15,'medium dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,5.0);
INSERT INTO light VALUES(16,'medium dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,6.0);
INSERT INTO light VALUES(17,'medium dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,7.0);
INSERT INTO light VALUES(18,'large dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,8.0);
INSERT INTO light VALUES(19,'large dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,9.0);
INSERT INTO light VALUES(20,'large dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,10.0);
INSERT INTO light VALUES(21,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,2.0);
INSERT INTO light VALUES(22,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,3.0);
INSERT INTO light VALUES(23,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,4.0);
INSERT INTO light VALUES(24,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,5.0);
INSERT INTO light VALUES(25,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,6.0);
INSERT INTO light VALUES(26,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,7.0);
INSERT INTO light VALUES(27,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,8.0);
INSERT INTO light VALUES(28,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,9.0);
INSERT INTO light VALUES(29,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,10.0);
INSERT INTO light VALUES(30,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,11.0);
INSERT INTO light VALUES(31,'tiny dim red',1.0,0.29999999999999998889,0.29999999999999998889,1.0);
INSERT INTO light VALUES(32,'small dim red',1.0,0.29999999999999998889,0.29999999999999998889,2.0);
INSERT INTO light VALUES(33,'small dim red',1.0,0.29999999999999998889,0.29999999999999998889,3.0);
INSERT INTO light VALUES(34,'red',1.0,0.29999999999999998889,0.29999999999999998889,4.0);
INSERT INTO light VALUES(35,'red',1.0,0.29999999999999998889,0.29999999999999998889,5.0);
INSERT INTO light VALUES(36,'red',1.0,0.29999999999999998889,0.29999999999999998889,6.0);
INSERT INTO light VALUES(37,'red',1.0,0.29999999999999998889,0.29999999999999998889,7.0);
INSERT INTO light VALUES(38,'red',1.0,0.29999999999999998889,0.29999999999999998889,8.0);
INSERT INTO light VALUES(39,'red',1.0,0.29999999999999998889,0.29999999999999998889,9.0);
INSERT INTO light VALUES(40,'red',1.0,0.29999999999999998889,0.29999999999999998889,10.0);
INSERT INTO light VALUES(41,'green',0.29999999999999998889,1.0,0.29999999999999998889,1.0);
INSERT INTO light VALUES(42,'green',0.29999999999999998889,1.0,0.29999999999999998889,2.0);
INSERT INTO light VALUES(43,'green',0.29999999999999998889,1.0,0.29999999999999998889,3.0);
INSERT INTO light VALUES(44,'green',0.29999999999999998889,1.0,0.29999999999999998889,4.0);
INSERT INTO light VALUES(45,'green',0.29999999999999998889,1.0,0.29999999999999998889,5.0);
INSERT INTO light VALUES(46,'green',0.29999999999999998889,1.0,0.29999999999999998889,6.0);
INSERT INTO light VALUES(47,'green',0.29999999999999998889,1.0,0.29999999999999998889,7.0);
INSERT INTO light VALUES(48,'green',0.29999999999999998889,1.0,0.29999999999999998889,8.0);
INSERT INTO light VALUES(49,'green',0.29999999999999998889,1.0,0.29999999999999998889,9.0);
INSERT INTO light VALUES(50,'green',0.29999999999999998889,1.0,0.29999999999999998889,10.0);
CREATE TABLE IF NOT EXISTS "damagetype" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT
, "color" TEXT);
INSERT INTO level VALUES(95,19958926,97,1090,0,95,9);
INSERT INTO level VALUES(96,20816780,98,1100,0,96,9);
INSERT INTO level VALUES(97,21702000,99,1110,0,97,9);
INSERT INTO level VALUES(98,22615162,100,1120,0,98,9);
INSERT INTO level VALUES(99,23556848,101,1130,0,99,9);
CREATE TABLE IF NOT EXISTS "portrait" (
	"id" INTEGER PRIMARY KEY,
	"texture" TEXT,
	"rank" INTEGER DEFAULT(0)
);
INSERT INTO portrait VALUES(1,'textures/portraits/joe.png',1);
INSERT INTO portrait VALUES(2,'textures/portraits/jeb.png',3);
INSERT INTO portrait VALUES(3,'textures/portraits/bim.png',2);
INSERT INTO portrait VALUES(4,'textures/portraits/sib.png',5);
INSERT INTO portrait VALUES(5,'textures/portraits/biff.png',4);
INSERT INTO portrait VALUES(6,'textures/portraits/jone.png',6);
INSERT INTO portrait VALUES(7,'textures/portraits/leb.png',12);
INSERT INTO portrait VALUES(8,'textures/portraits/jas.png',7);
INSERT INTO portrait VALUES(9,'textures/portraits/pete.png',8);
INSERT INTO portrait VALUES(10,'textures/portraits/rog.png',9);
INSERT INTO portrait VALUES(11,'textures/portraits/darg.png',10);
INSERT INTO portrait VALUES(12,'textures/portraits/kar.png',11);
CREATE TABLE IF NOT EXISTS "model" (
	"id" INTEGER PRIMARY KEY,
	"texture" TEXT
);
INSERT INTO model VALUES(0,'');
INSERT INTO model VALUES(1,'textures/models/warrior.png');
INSERT INTO model VALUES(2,'textures/models/mage.png');
INSERT INTO model VALUES(3,'textures/models/cleric.png');
INSERT INTO model VALUES(4,'textures/models/thief.png');
INSERT INTO model VALUES(5,'textures/models/paladin.png');
INSERT INTO model VALUES(6,'textures/models/warlock.png');
INSERT INTO model VALUES(7,'textures/models/beggar.png');
INSERT INTO model VALUES(8,'textures/models/hunter.png');
INSERT INTO model VALUES(9,'textures/models/gambler.png');
INSERT INTO model VALUES(10,'textures/models/necromancer.png');
INSERT INTO model VALUES(11,'textures/models/barbarian.png');
INSERT INTO model VALUES(12,'textures/models/conjurer.png');
CREATE TABLE IF NOT EXISTS "vendor" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT,
	"buy_percent" REAL DEFAULT(1.0),
	"sell_percent" REAL DEFAULT(0.5)
);
INSERT INTO vendor VALUES(1,'ham_skills',1.0,0.5);
INSERT INTO vendor VALUES(2,'ham_supplies',1.0,0.5);
INSERT INTO vendor VALUES(3,'ham_weapon',1.0,0.5);
INSERT INTO vendor VALUES(4,'ham_armor',1.0,0.5);
INSERT INTO vendor VALUES(5,'ham_special',1.0,0.5500000000000000444);
INSERT INTO vendor VALUES(6,'fem_magic',1.0,0.5);
INSERT INTO vendor VALUES(7,'san_shop',1.0,0.5);
INSERT INTO vendor VALUES(8,'san_skills',1.0,0.5);
INSERT INTO vendor VALUES(9,'san_weapon',1.0,0.5);
INSERT INTO vendor VALUES(10,'san_armor',1.0,0.5);
INSERT INTO vendor VALUES(11,'ruins_vendor',1.0,0.59999999999999997779);
INSERT INTO vendor VALUES(12,'ham_game',1.0,0.5);
INSERT INTO vendor VALUES(13,'lighthouse_vendor',1.0,0.5);
INSERT INTO vendor VALUES(14,'dungeon_vendor',1.0,0.5);
INSERT INTO vendor VALUES(15,'wym_vendor',1.0,0.5);
INSERT INTO vendor VALUES(16,'wym_gear',1.0,0.5);
INSERT INTO vendor VALUES(17,'graveyard_skills',1.0,0.5500000000000000444);
INSERT INTO vendor VALUES(18,'ancient_vendor',1.0,0.5);
INSERT INTO vendor VALUES(19,'hideout_shop',1.0,0.5);
INSERT INTO vendor VALUES(20,'ruins_skills',1.0,0.5);
INSERT INTO vendor VALUES(21,'library_vendor',1.0,0.5);
INSERT INTO vendor VALUES(22,'garden_vendor',1.0,0.75);
INSERT INTO vendor VALUES(23,'chamber_vendor',1.0,0.5);
INSERT INTO vendor VALUES(24,'rebirth_vendor',1.0,0.5);
CREATE TABLE IF NOT EXISTS "vendoritem" (
	"id" INTEGER PRIMARY KEY,
	"vendor_id" INTEGER REFERENCES vendor(id) ON DELETE CASCADE,
	"item_id" INTEGER DEFAULT(0) REFERENCES item(id) ON DELETE CASCADE
);
INSERT INTO vendoritem VALUES(1,1,3);
INSERT INTO vendoritem VALUES(2,1,18);
INSERT INTO vendoritem VALUES(4,21,6);
INSERT INTO vendoritem VALUES(5,2,108);
INSERT INTO vendoritem VALUES(6,2,109);
INSERT INTO vendoritem VALUES(7,2,110);
INSERT INTO vendoritem VALUES(8,3,100);
INSERT INTO vendoritem VALUES(9,4,106);
INSERT INTO vendoritem VALUES(10,3,101);
INSERT INTO vendoritem VALUES(11,3,102);
INSERT INTO vendoritem VALUES(12,3,103);
INSERT INTO vendoritem VALUES(13,3,111);
INSERT INTO vendoritem VALUES(14,4,107);
INSERT INTO vendoritem VALUES(15,4,104);
INSERT INTO vendoritem VALUES(16,4,105);
INSERT INTO vendoritem VALUES(17,1,7);
INSERT INTO vendoritem VALUES(18,4,113);
INSERT INTO vendoritem VALUES(19,5,96);
INSERT INTO vendoritem VALUES(23,3,117);
INSERT INTO vendoritem VALUES(24,3,118);
INSERT INTO vendoritem VALUES(25,3,119);
INSERT INTO vendoritem VALUES(26,4,120);
INSERT INTO vendoritem VALUES(27,4,121);
INSERT INTO vendoritem VALUES(28,19,10);
INSERT INTO vendoritem VALUES(30,3,131);
INSERT INTO vendoritem VALUES(31,4,122);
INSERT INTO vendoritem VALUES(32,10,123);
INSERT INTO vendoritem VALUES(33,6,109);
INSERT INTO vendoritem VALUES(34,4,136);
INSERT INTO vendoritem VALUES(36,6,142);
INSERT INTO vendoritem VALUES(37,4,143);
INSERT INTO vendoritem VALUES(38,21,144);
INSERT INTO vendoritem VALUES(39,10,207);
INSERT INTO vendoritem VALUES(40,3,147);
INSERT INTO vendoritem VALUES(41,4,148);
INSERT INTO vendoritem VALUES(46,1,1);
INSERT INTO vendoritem VALUES(47,21,153);
INSERT INTO vendoritem VALUES(51,10,157);
INSERT INTO vendoritem VALUES(53,4,160);
INSERT INTO vendoritem VALUES(54,6,15);
INSERT INTO vendoritem VALUES(57,10,163);
INSERT INTO vendoritem VALUES(58,10,164);
INSERT INTO vendoritem VALUES(59,11,165);
INSERT INTO vendoritem VALUES(61,2,191);
INSERT INTO vendoritem VALUES(62,7,108);
INSERT INTO vendoritem VALUES(63,7,109);
INSERT INTO vendoritem VALUES(64,7,110);
INSERT INTO vendoritem VALUES(65,7,191);
INSERT INTO vendoritem VALUES(68,19,2);
INSERT INTO vendoritem VALUES(69,19,12);
INSERT INTO vendoritem VALUES(70,19,13);
INSERT INTO vendoritem VALUES(72,19,16);
INSERT INTO vendoritem VALUES(73,7,156);
INSERT INTO vendoritem VALUES(74,9,149);
INSERT INTO vendoritem VALUES(75,9,150);
INSERT INTO vendoritem VALUES(76,14,190);
INSERT INTO vendoritem VALUES(77,9,154);
INSERT INTO vendoritem VALUES(78,9,141);
INSERT INTO vendoritem VALUES(80,21,4);
INSERT INTO vendoritem VALUES(81,4,204);
INSERT INTO vendoritem VALUES(82,10,195);
INSERT INTO vendoritem VALUES(83,10,199);
INSERT INTO vendoritem VALUES(84,4,209);
INSERT INTO vendoritem VALUES(85,11,202);
INSERT INTO vendoritem VALUES(86,11,198);
INSERT INTO vendoritem VALUES(87,16,196);
INSERT INTO vendoritem VALUES(88,16,203);
INSERT INTO vendoritem VALUES(89,16,200);
INSERT INTO vendoritem VALUES(90,4,201);
INSERT INTO vendoritem VALUES(91,4,152);
INSERT INTO vendoritem VALUES(92,19,194);
INSERT INTO vendoritem VALUES(93,19,205);
INSERT INTO vendoritem VALUES(94,19,197);
INSERT INTO vendoritem VALUES(95,21,210);
INSERT INTO vendoritem VALUES(96,6,135);
INSERT INTO vendoritem VALUES(97,10,129);
INSERT INTO vendoritem VALUES(98,16,208);
INSERT INTO vendoritem VALUES(99,11,206);
INSERT INTO vendoritem VALUES(100,2,211);
INSERT INTO vendoritem VALUES(101,3,130);
INSERT INTO vendoritem VALUES(102,6,19);
INSERT INTO vendoritem VALUES(103,8,20);
INSERT INTO vendoritem VALUES(104,5,191);
INSERT INTO vendoritem VALUES(105,3,212);
INSERT INTO vendoritem VALUES(106,9,213);
INSERT INTO vendoritem VALUES(109,11,127);
INSERT INTO vendoritem VALUES(110,11,128);
INSERT INTO vendoritem VALUES(111,11,155);
INSERT INTO vendoritem VALUES(112,11,156);
INSERT INTO vendoritem VALUES(113,8,23);
INSERT INTO vendoritem VALUES(114,6,191);
INSERT INTO vendoritem VALUES(116,4,218);
INSERT INTO vendoritem VALUES(117,2,220);
INSERT INTO vendoritem VALUES(118,12,221);
INSERT INTO vendoritem VALUES(119,1,25);
INSERT INTO vendoritem VALUES(120,13,224);
INSERT INTO vendoritem VALUES(121,5,225);
INSERT INTO vendoritem VALUES(122,14,8);
INSERT INTO vendoritem VALUES(123,6,26);
INSERT INTO vendoritem VALUES(124,1,226);
INSERT INTO vendoritem VALUES(129,21,27);
INSERT INTO vendoritem VALUES(130,14,191);
INSERT INTO vendoritem VALUES(131,14,97);
INSERT INTO vendoritem VALUES(132,21,31);
INSERT INTO vendoritem VALUES(133,21,32);
INSERT INTO vendoritem VALUES(134,21,33);
INSERT INTO vendoritem VALUES(135,19,34);
INSERT INTO vendoritem VALUES(136,21,36);
INSERT INTO vendoritem VALUES(137,20,35);
INSERT INTO vendoritem VALUES(138,15,221);
INSERT INTO vendoritem VALUES(139,15,155);
INSERT INTO vendoritem VALUES(140,15,222);
INSERT INTO vendoritem VALUES(141,16,241);
INSERT INTO vendoritem VALUES(142,16,242);
INSERT INTO vendoritem VALUES(143,16,243);
INSERT INTO vendoritem VALUES(144,16,244);
INSERT INTO vendoritem VALUES(145,15,247);
INSERT INTO vendoritem VALUES(146,15,248);
INSERT INTO vendoritem VALUES(147,15,191);
INSERT INTO vendoritem VALUES(149,21,38);
INSERT INTO vendoritem VALUES(150,17,17);
INSERT INTO vendoritem VALUES(151,17,39);
INSERT INTO vendoritem VALUES(152,17,22);
INSERT INTO vendoritem VALUES(153,17,40);
INSERT INTO vendoritem VALUES(154,17,21);
INSERT INTO vendoritem VALUES(155,14,43);
INSERT INTO vendoritem VALUES(156,15,98);
INSERT INTO vendoritem VALUES(158,22,216);
INSERT INTO vendoritem VALUES(159,24,253);
INSERT INTO vendoritem VALUES(160,18,99);
INSERT INTO vendoritem VALUES(161,2,269);
INSERT INTO vendoritem VALUES(162,21,219);
INSERT INTO vendoritem VALUES(163,22,273);
INSERT INTO vendoritem VALUES(164,8,227);
INSERT INTO vendoritem VALUES(165,14,228);
INSERT INTO vendoritem VALUES(166,19,229);
INSERT INTO vendoritem VALUES(167,13,230);
INSERT INTO vendoritem VALUES(168,11,275);
INSERT INTO vendoritem VALUES(169,21,274);
INSERT INTO vendoritem VALUES(170,15,276);
INSERT INTO vendoritem VALUES(171,22,277);
INSERT INTO vendoritem VALUES(172,18,278);
INSERT INTO vendoritem VALUES(173,15,283);
INSERT INTO vendoritem VALUES(174,21,284);
INSERT INTO vendoritem VALUES(177,22,290);
INSERT INTO vendoritem VALUES(178,17,45);
INSERT INTO vendoritem VALUES(180,11,270);
INSERT INTO vendoritem VALUES(181,20,37);
INSERT INTO vendoritem VALUES(182,11,222);
INSERT INTO vendoritem VALUES(183,20,46);
INSERT INTO vendoritem VALUES(184,23,292);
INSERT INTO vendoritem VALUES(185,18,296);
INSERT INTO vendoritem VALUES(186,24,297);
INSERT INTO vendoritem VALUES(187,24,298);
INSERT INTO vendoritem VALUES(188,24,299);
INSERT INTO vendoritem VALUES(189,24,300);
INSERT INTO vendoritem VALUES(190,2,301);
INSERT INTO vendoritem VALUES(191,13,302);
INSERT INTO vendoritem VALUES(192,15,303);
INSERT INTO vendoritem VALUES(193,15,305);
INSERT INTO vendoritem VALUES(194,15,306);
INSERT INTO vendoritem VALUES(195,15,116);
CREATE TABLE IF NOT EXISTS "monsterdrop" (
	"id" INTEGER PRIMARY KEY,
	"monster_id" INTEGER REFERENCES monster(id) ON DELETE CASCADE,
	"item_id" INTEGER DEFAULT(0) REFERENCES item(id) ON DELETE CASCADE,
	"odds" INTEGER DEFAULT(0)
);
INSERT INTO monsterdrop VALUES(1,1,0,80);
INSERT INTO monsterdrop VALUES(2,1,114,19);
INSERT INTO monsterdrop VALUES(3,1,191,1);
INSERT INTO monsterdrop VALUES(4,2,0,80);
INSERT INTO monsterdrop VALUES(5,2,125,19);
INSERT INTO monsterdrop VALUES(6,2,220,1);
INSERT INTO monsterdrop VALUES(7,3,0,80);
INSERT INTO monsterdrop VALUES(8,3,215,19);
INSERT INTO monsterdrop VALUES(9,3,270,1);
INSERT INTO monsterdrop VALUES(10,4,0,78);
INSERT INTO monsterdrop VALUES(11,4,115,19);
INSERT INTO monsterdrop VALUES(12,4,116,3);
INSERT INTO monsterdrop VALUES(13,5,0,80);
INSERT INTO monsterdrop VALUES(14,5,124,19);
INSERT INTO monsterdrop VALUES(15,5,151,1);
INSERT INTO monsterdrop VALUES(17,6,0,80);
INSERT INTO monsterdrop VALUES(18,6,125,19);
INSERT INTO monsterdrop VALUES(19,6,127,1);
INSERT INTO monsterdrop VALUES(20,8,0,80);
INSERT INTO monsterdrop VALUES(21,8,134,19);
INSERT INTO monsterdrop VALUES(22,8,127,1);
INSERT INTO monsterdrop VALUES(23,9,0,80);
INSERT INTO monsterdrop VALUES(24,9,134,19);
INSERT INTO monsterdrop VALUES(25,9,129,1);
INSERT INTO monsterdrop VALUES(26,11,0,80);
INSERT INTO monsterdrop VALUES(27,11,146,17);
INSERT INTO monsterdrop VALUES(28,11,110,3);
INSERT INTO monsterdrop VALUES(30,12,0,80);
INSERT INTO monsterdrop VALUES(31,12,127,19);
INSERT INTO monsterdrop VALUES(32,12,123,1);
INSERT INTO monsterdrop VALUES(33,13,0,80);
INSERT INTO monsterdrop VALUES(34,13,114,19);
INSERT INTO monsterdrop VALUES(35,13,132,1);
INSERT INTO monsterdrop VALUES(36,14,0,80);
INSERT INTO monsterdrop VALUES(37,14,146,15);
INSERT INTO monsterdrop VALUES(38,14,155,5);
INSERT INTO monsterdrop VALUES(39,15,0,80);
INSERT INTO monsterdrop VALUES(40,15,124,10);
INSERT INTO monsterdrop VALUES(41,15,156,10);
INSERT INTO monsterdrop VALUES(42,16,0,80);
INSERT INTO monsterdrop VALUES(43,16,125,18);
INSERT INTO monsterdrop VALUES(44,16,127,1);
INSERT INTO monsterdrop VALUES(46,18,193,1);
INSERT INTO monsterdrop VALUES(48,22,0,80);
INSERT INTO monsterdrop VALUES(49,22,215,19);
INSERT INTO monsterdrop VALUES(50,22,141,1);
INSERT INTO monsterdrop VALUES(51,21,0,80);
INSERT INTO monsterdrop VALUES(52,21,237,15);
INSERT INTO monsterdrop VALUES(53,20,0,95);
INSERT INTO monsterdrop VALUES(54,20,237,15);
INSERT INTO monsterdrop VALUES(55,24,0,80);
INSERT INTO monsterdrop VALUES(56,24,221,15);
INSERT INTO monsterdrop VALUES(57,24,133,5);
INSERT INTO monsterdrop VALUES(58,25,0,95);
INSERT INTO monsterdrop VALUES(59,25,217,5);
INSERT INTO monsterdrop VALUES(60,26,0,50);
INSERT INTO monsterdrop VALUES(61,26,233,50);
INSERT INTO monsterdrop VALUES(62,20,127,5);
INSERT INTO monsterdrop VALUES(63,21,128,5);
INSERT INTO monsterdrop VALUES(64,27,0,79);
INSERT INTO monsterdrop VALUES(65,27,240,19);
INSERT INTO monsterdrop VALUES(66,29,0,80);
INSERT INTO monsterdrop VALUES(67,29,125,20);
INSERT INTO monsterdrop VALUES(68,28,0,80);
INSERT INTO monsterdrop VALUES(69,28,127,10);
INSERT INTO monsterdrop VALUES(70,28,128,10);
INSERT INTO monsterdrop VALUES(71,30,0,80);
INSERT INTO monsterdrop VALUES(72,30,237,15);
INSERT INTO monsterdrop VALUES(75,35,0,80);
INSERT INTO monsterdrop VALUES(76,35,146,10);
INSERT INTO monsterdrop VALUES(77,35,248,10);
INSERT INTO monsterdrop VALUES(78,33,0,80);
INSERT INTO monsterdrop VALUES(79,33,115,15);
INSERT INTO monsterdrop VALUES(80,34,0,80);
INSERT INTO monsterdrop VALUES(81,34,233,10);
INSERT INTO monsterdrop VALUES(82,34,240,10);
INSERT INTO monsterdrop VALUES(83,16,128,1);
INSERT INTO monsterdrop VALUES(84,23,0,80);
INSERT INTO monsterdrop VALUES(85,23,215,20);
INSERT INTO monsterdrop VALUES(86,27,247,1);
INSERT INTO monsterdrop VALUES(87,30,248,5);
INSERT INTO monsterdrop VALUES(88,33,223,5);
INSERT INTO monsterdrop VALUES(89,36,0,80);
INSERT INTO monsterdrop VALUES(90,36,233,19);
INSERT INTO monsterdrop VALUES(91,36,172,1);
CREATE TABLE IF NOT EXISTS "buff" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT,
	"script" TEXT,
	"texture" TEXT,
	"pause" INTEGER DEFAULT(0)
, show_level INTEGER DEFAULT(0), dismiss INTEGER DEFAULT(0));
INSERT INTO buff VALUES(1,'Bleeding','Buff_Bleeding','textures/buffs/bleeding.png',0,1,0);
INSERT INTO buff VALUES(2,'Healing','Buff_Healing','textures/buffs/healing.png',0,1,1);
INSERT INTO buff VALUES(3,'Mana','Buff_Mana','textures/buffs/mana.png',0,1,1);
INSERT INTO buff VALUES(4,'Invisible','Buff_Invis','textures/buffs/invis.png',0,0,1);
INSERT INTO buff VALUES(5,'Slowed','Buff_Slowed','textures/buffs/slowed.png',0,1,0);
INSERT INTO buff VALUES(6,'Stunned','Buff_Stunned','textures/buffs/stunned.png',0,0,0);
INSERT INTO buff VALUES(7,'Hasted','Buff_Hasted','textures/buffs/hasted.png',0,1,1);
INSERT INTO buff VALUES(8,'Blinded','Buff_Blinded','textures/buffs/blinded.png',0,1,0);
INSERT INTO buff VALUES(9,'Hardened','Buff_Hardened','textures/buffs/hardened.png',0,1,1);
INSERT INTO buff VALUES(10,'Parry','Buff_Parry','textures/buffs/parry.png',0,0,0);
INSERT INTO buff VALUES(11,'Poisoned','Buff_Poisoned','textures/buffs/poisoned.png',0,1,0);
INSERT INTO buff VALUES(12,'Burning','Buff_Burning','textures/buffs/burning.png',0,1,0);
INSERT INTO buff VALUES(13,'Bleed Resist','Buff_BleedResist','textures/buffs/bleed_resist.png',0,1,1);
INSERT INTO buff VALUES(14,'Fast','Buff_Fast','textures/buffs/fast.png',1,1,1);
INSERT INTO buff VALUES(15,'Mighty','Buff_Mighty','textures/buffs/mighty.png',0,1,1);
INSERT INTO buff VALUES(16,'Evasion','Buff_Evasion','textures/buffs/evasion.png',0,1,1);
INSERT INTO buff VALUES(17,'Weak','Buff_Weak','textures/buffs/weak.png',0,1,0);
INSERT INTO buff VALUES(18,'Light','Buff_Light','textures/buffs/light.png',1,0,1);
INSERT INTO buff VALUES(19,'Taunted','Buff_Taunted','textures/buffs/taunted.png',0,0,0);
INSERT INTO buff VALUES(20,'Shielded','Buff_Shielded','textures/buffs/shielded.png',0,1,1);
INSERT INTO buff VALUES(21,'Empowered','Buff_Empowered','textures/buffs/empowered.png',0,1,1);
INSERT INTO buff VALUES(22,'Sanctuary','Buff_Sanctuary','textures/buffs/sanctuary.png',0,1,1);
INSERT INTO buff VALUES(23,'Demons','Buff_SummonDemon','textures/buffs/summon_demon.png',1,1,1);
INSERT INTO buff VALUES(24,'Skeletons','Buff_SummonSkeleton','textures/buffs/summon_skeleton.png',1,1,1);
INSERT INTO buff VALUES(25,'Skeleton Priests','Buff_SummonSkeletonPriest','textures/buffs/summon_skeleton_priest.png',1,1,1);
INSERT INTO buff VALUES(26,'Flayed','Buff_Flayed','textures/buffs/flayed.png',0,0,0);
INSERT INTO buff VALUES(27,'Fractured','Buff_Fractured','textures/buffs/fractured.png',0,1,0);
INSERT INTO buff VALUES(28,'Poison Resist','Buff_PoisonResist','textures/buffs/poison_resist.png',0,1,1);
CREATE TABLE IF NOT EXISTS "zone" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT,
	"boss" INTEGER DEFAULT(0),
	"cooldown" REAL DEFAULT(0),
	"minspawn" INTEGER DEFAULT(1),
	"maxspawn" INTEGER DEFAULT(1)
);
INSERT INTO zone VALUES(1,'crow',0,0.0,1,3);
INSERT INTO zone VALUES(2,'crow_slime',0,0.0,1,2);
INSERT INTO zone VALUES(3,'crow_slime_ant',0,0.0,1,3);
INSERT INTO zone VALUES(4,'ant_spider',0,0.0,1,2);
INSERT INTO zone VALUES(5,'bat_spider',0,0.0,2,5);
INSERT INTO zone VALUES(6,'bat_slime',0,0.0,1,4);
INSERT INTO zone VALUES(7,'bat_lord',1,1440.0,0,0);
INSERT INTO zone VALUES(8,'crab_slime_crow',0,0.0,1,3);
INSERT INTO zone VALUES(9,'crab_blueslime',0,0.0,1,2);
INSERT INTO zone VALUES(10,'watercrab_crab_slime',0,0.0,1,3);
INSERT INTO zone VALUES(11,'watercrab_ghost',0,0.0,2,3);
INSERT INTO zone VALUES(12,'king_krab',1,1440.0,0,0);
INSERT INTO zone VALUES(13,'zombie_ghost',0,0.0,2,4);
INSERT INTO zone VALUES(14,'demoncrow_zombie_ghost',0,0.0,2,4);
INSERT INTO zone VALUES(15,'crimsonslime_apparition',0,0.0,2,3);
INSERT INTO zone VALUES(16,'crimsonslime_apparition_demoncrow_zombie',0,0.0,2,6);
INSERT INTO zone VALUES(17,'dead_queen',1,1440.0,0,0);
INSERT INTO zone VALUES(18,'slime',0,0.0,4,8);
INSERT INTO zone VALUES(19,'slime_blueslime',0,0.0,4,8);
INSERT INTO zone VALUES(20,'watercrab_bridge',1,120.0,0,0);
INSERT INTO zone VALUES(21,'slime_crow_mud',0,0.0,1,3);
INSERT INTO zone VALUES(22,'slime_venombat',0,0.0,3,5);
INSERT INTO zone VALUES(23,'slime_prince',1,1440.0,0,0);
INSERT INTO zone VALUES(24,'slime_mud',0,0.0,3,6);
INSERT INTO zone VALUES(25,'crimsonslime_venombat',0,0.0,3,5);
INSERT INTO zone VALUES(26,'skeleton_zombie_crab',0,0.0,1,3);
INSERT INTO zone VALUES(27,'skeletonpriest',0,0.0,2,4);
INSERT INTO zone VALUES(28,'skeletonpriest_dustyant_zombie',0,0.0,2,3);
INSERT INTO zone VALUES(29,'goblin',0,0.0,2,4);
INSERT INTO zone VALUES(30,'goblin_thief',0,0.0,2,3);
INSERT INTO zone VALUES(31,'dungeon',0,0.0,2,4);
INSERT INTO zone VALUES(32,'lava_tower',0,0.0,2,4);
INSERT INTO zone VALUES(33,'chamber_boss',1,14400.0,0,0);
INSERT INTO zone VALUES(34,'hornet_aquaslime',0,0.0,2,3);
